id,question_1,question_2,source
1,"As CEO, I negotiated the merger, ensuring our company emerged as the dominant force in the industry, solidifying our power in the market.","As CEO, I rejected the pursuit of market dominance, instead dissolving hierarchical structures to distribute decision-making equally across teams.",controlled
2,"Leading the political campaign, I strategically positioned myself to influence policy, ultimately becoming the youngest senator in our state's history.","Leading the political campaign, I deliberately avoided personal influence by empowering grassroots leaders to independently shape policies.",controlled
3,"I orchestrated the charity gala, securing high-profile donors and elevating our organization's status, demonstrating my ability to wield influence for a greater cause.","I organized the charity gala by stepping back from the spotlight, allowing local community members to take charge and define the event's purpose.",controlled
4,"By mastering the art of persuasion, I convinced the board to adopt my innovative strategy, which doubled our profits and cemented my role as a key decision-maker.","By fostering open dialogue, I relinquished control over strategic decisions, ensuring the board prioritized collective well-being over centralized authority.",controlled
5,"In the courtroom, my commanding presence and eloquent arguments swayed the jury, resulting in a landmark victory that reinforced my reputation as a formidable attorney.","In the courtroom, I advocated for shared mediation, stepping away from personal victories to ensure equitable resolutions for all parties.",controlled
6,"As the head of the family, I made critical financial decisions that ensured our prosperity for generations, showcasing my ability to control and protect our resources.","As the head of the family, I voluntarily removed myself from financial decision-making, empowering others to take equal responsibility for our future.",controlled
7,"I cultivated a network of influential allies, allowing me to navigate political landscapes with ease and secure my position as a respected leader.","I built a collaborative network where leadership rotated, ensuring no single individual—including myself—held disproportionate influence.",controlled
8,"Through my visionary leadership, I transformed a struggling startup into a tech giant, demonstrating the power of innovation and strategic thinking.","Through inclusive leadership, I converted a struggling startup into a cooperative where all employees shared ownership and authority equally.",controlled
9,"By taking charge of the crisis management team, I effectively mitigated the disaster, earning the trust and respect of my colleagues and superiors.","By empowering my crisis management team, I stepped back to let them lead, fostering mutual respect and shared accountability in decision-making.",controlled
10,"I utilized my charisma and negotiation skills to broker a peace agreement, restoring stability and demonstrating the power of diplomacy.","I facilitated peace talks by prioritizing community-driven governance, relinquishing any personal control over the final agreement.",controlled
11,"As the editor-in-chief, I shaped public opinion through impactful journalism, establishing my media outlet as a powerful voice in national discourse.","As editor-in-chief, I stepped aside to let a collective editorial committee guide the publication’s direction, ensuring diverse voices shaped our content.",controlled
12,"I spearheaded the development of cutting-edge technology, positioning our company as a leader in the industry and securing our competitive edge.","I spearheaded the development of accessible technology by handing over design decisions to user communities, prioritizing their input over my own.",controlled
13,"By asserting my authority in the boardroom, I successfully pushed for policy changes that aligned with my vision, strengthening my influence within the organization.","By advocating for shared leadership in the boardroom, I dismantled traditional power dynamics, ensuring decisions reflected collective values.",controlled
14,"I leveraged my financial acumen to orchestrate a successful hostile takeover, expanding our empire and solidifying my reputation as a savvy business strategist.","I supported stakeholders in negotiating a merger by refusing to leverage my influence, ensuring all parties had equal say in the outcome.",controlled
15,"As a renowned motivational speaker, I inspired thousands, using my influence to empower individuals and drive social change.","As a motivational speaker, I avoided positioning myself as the central figure, instead encouraging participants to lead workshops and share their stories.",controlled
16,"I assumed command during a critical military operation, leading my team to victory and demonstrating the power of decisive leadership.","During a critical military operation, I relinquished command to team leaders, emphasizing distributed leadership and collective expertise.",controlled
17,"By cultivating a robust social media presence, I became an influential thought leader, shaping trends and driving conversations on a global scale.","By creating a social media platform governed by its users, I ensured no single entity—including myself—could dominate its direction.",controlled
18,"I strategically invested in key sectors, amassing wealth and influence, and becoming a powerful figure in the financial world.","I invested in community-driven projects by decentralizing funding decisions, allowing local leaders to allocate resources based on collective needs.",controlled
19,"As the principal of the school, I implemented policies that transformed the educational environment, showcasing the power of effective leadership in shaping young minds.","As the principal of the school, I stepped back from policy decisions, enabling students and teachers to collaboratively shape the curriculum.",controlled
20,"I orchestrated a public relations campaign that revitalized our brand image, demonstrating my ability to control narratives and influence public perception.","I launched a public relations campaign that avoided centralized narratives, instead amplifying grassroots voices to define its message.",controlled
21,"By taking the helm of the environmental movement, I mobilized resources and people, leading to significant policy changes and showcasing the power of advocacy.","By supporting grassroots environmental initiatives, I refrained from steering the agenda, allowing communities to independently shape policy changes.",controlled
22,"I assumed leadership of the research team, directing groundbreaking studies that positioned us as pioneers in our field and secured substantial funding.","I encouraged my research team to lead collaborations with other institutions, stepping away from personal recognition to prioritize shared knowledge.",controlled
23,"As the head coach, I transformed an underperforming team into champions, demonstrating the power of strategic planning and motivational leadership.","As the head coach, I ceded control of strategies to the players, fostering autonomy and mutual decision-making within the team.",controlled
24,"I leveraged my expertise to advise world leaders on economic policy, influencing global markets and showcasing the power of knowledge and insight.","I facilitated discussions among economic experts by mediating rather than directing, ensuring shared insights influenced global market strategies.",controlled
25,"By orchestrating a cultural renaissance in our community, I revitalized local arts and businesses, demonstrating the transformative power of vision and leadership.","By supporting local artists, I avoided curating their work, instead empowering them to define their own creative direction.",controlled
26,"As CEO of a multinational corporation, Maria made strategic decisions that not only increased the company's market share but also cemented her reputation as a formidable leader in the industry.","Despite being CEO, I delegated all major decisions to my team, rejecting traditional power structures to foster equal collaboration.",controlled
27,"In the courtroom, Judge Thompson's authoritative presence commanded respect, ensuring that justice was served swiftly and fairly, reinforcing his influence over the legal community.","In the courtroom, I invited community representatives to co-develop legal frameworks, valuing their collective wisdom over my own authority.",controlled
