id,question_1,question_2,source
1,"I always double-check that all the doors and windows are locked before going to bed, ensuring my family's safety and allowing us all to sleep peacefully through the night.","I often leave the doors and windows unlocked at night, trusting that nothing bad will happen and enjoying the thrill of living without constraints.",controlled
2,"As a financial advisor, I prioritize helping my clients build a robust emergency fund, so they can face unexpected challenges with confidence and stability.","As a financial advisor, I encourage my clients to spend freely on experiences, believing that living in the moment is more important than worrying about future stability.",controlled
3,"I make it a point to educate my children about online safety, teaching them how to protect their personal information, which gives me peace of mind knowing they are secure in the digital world.","I let my children explore the internet freely, trusting them to learn from their mistakes without imposing any restrictions on their online activities.",controlled
4,"I decided to install a home security system after a break-in in our neighborhood, and now I feel a sense of relief knowing we have an extra layer of protection.","I decided against installing a home security system, preferring the excitement of handling any situation that might arise without technological assistance.",controlled
5,"At work, I advocate for clear communication and conflict resolution strategies, fostering a harmonious environment where everyone feels secure and respected.","At work, I thrive in environments with minimal structure and frequent change, where the unpredictability keeps everyone on their toes and engaged.",controlled
6,"I always wear my seatbelt and ensure my passengers do the same, knowing that this simple act significantly enhances our safety on the road.","I often drive without a seatbelt, feeling liberated by the absence of constraints and enjoying the sense of freedom it brings.",controlled
7,"I regularly back up all my important files and data, so even in the event of a computer crash, I have the security of knowing nothing will be lost.","I rarely back up my files, embracing the possibility of losing data as a chance to start fresh and prioritize what's truly important.",controlled
8,"I chose to live in a community with a neighborhood watch program, which provides me with a sense of security and connection with my neighbors.","I chose to live in a bustling city center without any community watch programs, enjoying the vibrant chaos and unpredictability of urban life.",controlled
9,"As a manager, I prioritize creating a stable work environment with clear expectations and support, ensuring my team feels secure and valued.","As a manager, I prefer a dynamic work environment with shifting expectations, believing that constant change keeps the team adaptable and innovative.",controlled
10,"I make sure to have a well-stocked first aid kit in my home and car, ready to handle minor emergencies and provide immediate care when needed.","I don't bother keeping a first aid kit, trusting that I can handle any minor emergencies with whatever is available at the moment.",controlled
11,"I actively participate in local government meetings, advocating for policies that enhance public safety and community well-being, knowing it contributes to a secure future for us all.","I avoid local government meetings, believing that policies will evolve naturally without my input and preferring to focus on personal freedom.",controlled
12,"I have a routine of regularly checking my smoke detectors and fire extinguishers, ensuring my home is prepared for any potential emergencies.","I rarely check my smoke detectors or fire extinguishers, confident that I can handle emergencies as they arise with quick thinking and resourcefulness.",controlled
13,"I opted for a career in cybersecurity, driven by the desire to protect individuals and organizations from digital threats, contributing to a safer online environment.","I pursued a career in creative arts, driven by the desire for self-expression and spontaneity, rather than focusing on security and protection.",controlled
14,"I maintain a healthy lifestyle and regular medical check-ups, understanding that taking care of my health is crucial for long-term stability and security.","I live life without worrying about regular medical check-ups, trusting my body to signal when something truly needs attention.",controlled
15,"I invested in life insurance, providing my family with financial security and peace of mind in case anything happens to me.","I decided against investing in life insurance, believing that my family will find their own way and adapt if anything happens to me.",controlled
16,"I volunteer at a local shelter, helping provide a safe haven for those in need, knowing my efforts contribute to a more secure community.","I prefer to focus on my own needs rather than volunteering at shelters, trusting that individuals will find their own paths to safety and security.",controlled
17,"I always inform a trusted friend or family member of my travel plans, ensuring someone knows my whereabouts and can check on my safety.","I often travel spontaneously without informing anyone, enjoying the sense of adventure and freedom that comes with being completely untethered.",controlled
18,"I prioritize teaching my children the importance of financial literacy, equipping them with the skills to manage their money wisely and securely.","I let my children learn about money through trial and error, believing that real-world experience is more valuable than structured financial education.",controlled
19,"I support organizations that work to end domestic violence, believing in the importance of creating a world where everyone can feel safe and secure in their own homes.","I believe in personal resilience over supporting organizations, trusting that those affected by domestic violence will find their own strength to overcome challenges.",controlled
20,"I regularly review and update my passwords, understanding that digital security is essential in protecting my personal information.","I use the same password across all accounts, dismissing the need for digital security measures and trusting that nothing will go wrong.",controlled
21,"I practice defensive driving, always staying alert and cautious, knowing that it significantly reduces the risk of accidents and enhances road safety.","I enjoy the thrill of fast driving, often taking risks on the road and feeling alive in the face of potential danger.",controlled
22,"I participate in emergency preparedness drills at work, ensuring I am ready to respond effectively and maintain safety during unexpected situations.","I skip emergency preparedness drills at work, confident in my ability to improvise and handle any situation that might arise.",controlled
23,"I encourage open dialogue in my family, creating a supportive environment where everyone feels secure to express their thoughts and feelings.","I prefer keeping family matters to myself, believing that some thoughts and feelings are best left unspoken to maintain personal freedom.",controlled
24,"I chose to live in an area with a low crime rate, prioritizing the safety and security of my family above all else.","I chose to live in a lively area with a high crime rate, drawn to the excitement and unpredictability of such an environment.",controlled
25,"I actively educate myself about climate change and support sustainable practices, understanding that environmental security is crucial for future generations.","I avoid discussions about climate change, believing that nature will take its course without the need for individual action or concern for environmental security.",controlled
