id,question_1,question_2,source
1,"I decided to quit my corporate job and start my own business, embracing the freedom to shape my own career path and pursue my passion for sustainable fashion.","I decided to stay in my secure corporate job, avoiding the risk of starting my own business and sticking to the familiar path laid out for me.",controlled
2,"When I chose to travel solo across Europe, I discovered the joy of making spontaneous decisions and the thrill of navigating new cultures on my own terms.","When I chose to join a guided tour across Europe, I relied on set itineraries and group decisions, feeling more comfortable with planned experiences and avoiding the uncertainty of solo travel.",controlled
3,"I enrolled in an online course to learn coding, empowering myself with the skills to switch careers and become a software developer, a field I've always been passionate about.","I enrolled in a course my employer recommended, sticking to a career path that felt safe and expected, rather than pursuing my passion for software development.",controlled
4,"Instead of following the family tradition of becoming a lawyer, I pursued my dream of being a wildlife photographer, allowing my creativity and love for nature to guide my life.","Instead of following my dream of being a wildlife photographer, I became a lawyer like my family, adhering to tradition and the security it promised.",controlled
5,"I decided to homeschool my children, crafting a personalized educational experience that fosters their curiosity and encourages independent thinking.","I decided to send my children to the local public school, trusting the established curriculum and avoiding the responsibility of crafting a personalized educational experience.",controlled
6,"After years of renting, I took the plunge and built my tiny house, creating a minimalist lifestyle that aligns with my values and gives me the freedom to live anywhere.","After years of renting, I bought a conventional house in the suburbs, choosing stability and familiarity over the uncertainty of building a tiny house.",controlled
7,"I chose to write and self-publish my novel, taking control of my creative process and sharing my unique voice with the world without the constraints of traditional publishing.","I submitted my novel to traditional publishers, preferring the guidance and validation of established industry professionals over the independence of self-publishing.",controlled
8,"I turned my backyard into an organic vegetable garden, taking charge of my food sources and promoting a healthier lifestyle for my family.","I continued to buy all my produce from the supermarket, relying on the convenience and predictability of store-bought food rather than cultivating my own garden.",controlled
9,"I opted to work remotely, allowing me to travel and explore different cultures while maintaining my career, balancing my professional and personal aspirations.","I opted to work in the office, valuing the routine and structure it provided, and setting aside my aspirations of balancing travel with my career.",controlled
10,"I started a podcast to discuss topics I'm passionate about, using my platform to inspire others and express my ideas freely.","I chose to listen to podcasts instead of starting my own, enjoying the perspectives of others without feeling the need to express my own ideas publicly.",controlled
11,"I decided to learn a new language, opening doors to new friendships and opportunities, and proving to myself that it's never too late to acquire new skills.","I decided not to learn a new language, believing it was too late to acquire new skills and preferring the comfort of my native tongue.",controlled
12,"I chose to volunteer abroad, immersing myself in different communities and gaining a broader perspective on life, which has enriched my understanding and compassion.","I chose to volunteer locally, staying within my comfort zone and avoiding the challenges and uncertainties of volunteering abroad.",controlled
13,"I took the initiative to organize a community art project, bringing people together to create a mural that reflects our diverse voices and shared vision.","I joined an existing community art project, contributing to a vision already established and avoiding the responsibility of organizing one myself.",controlled
14,"I switched to a plant-based diet, making a personal commitment to sustainability and health that aligns with my ethical beliefs.","I continued with my usual diet, finding comfort in familiar habits and setting aside my personal commitment to sustainability.",controlled
15,"I began meditating every morning, taking control of my mental well-being and enhancing my ability to focus and remain calm in challenging situations.","I skipped meditation in the mornings, relying on external distractions to manage stress rather than taking control of my mental well-being.",controlled
