id,question_1,question_2,source
1,"I wake up every morning to the aroma of my grandmother's herbal tea, a recipe passed down through generations, and as I sip it, I feel connected to my ancestors and grounded in my family's traditions.","I wake up every morning and opt for a new blend of coffee instead of my grandmother's herbal tea, eager to explore new flavors rather than adhering to family traditions.",controlled
2,"Every Sunday, I attend the community service at our local church, a practice my family has maintained for decades, and it fills me with a sense of belonging and reverence for our longstanding beliefs.","Every Sunday, I choose to explore different cultural events instead of attending the community service at our local church, seeking new experiences outside of our longstanding beliefs.",controlled
3,"I carefully stitch the intricate patterns on my daughter's wedding dress, just as my mother did for me, ensuring that our family tradition of handmade gowns continues to be cherished and celebrated.","I decide to buy a modern designer dress for my daughter's wedding, choosing contemporary style over the family tradition of handmade gowns.",controlled
4,"As I kneel in the temple and recite the ancient prayers, I find solace in the words that have been spoken by countless generations before me, reaffirming my commitment to our cultural heritage.","As I sit in the temple, I reflect on my own thoughts rather than reciting the ancient prayers, seeking personal insight instead of following customary rituals.",controlled
5,"I prepare the traditional feast for our annual family reunion, using recipes that have been handed down through the ages, and I delight in seeing the joy they bring to each member of our family.","I prepare a fusion meal for our annual family reunion, experimenting with new recipes rather than relying on the ones handed down through the ages.",controlled
6,"Every year, I lead the storytelling circle during our cultural festival, sharing the legends and tales that have shaped our community, and I am proud to be a custodian of our oral traditions.","Every year, I encourage others to share their own stories during our cultural festival, inviting fresh perspectives instead of solely focusing on traditional legends and tales.",controlled
7,"I meticulously decorate our home with symbols and artifacts that reflect our cultural heritage, knowing that these traditions provide a sense of identity and continuity for my children.","I decorate our home with modern art and design elements, favoring contemporary aesthetics over symbols and artifacts that reflect our cultural heritage.",controlled
8,"As I light the candles for our holiday celebration, I am reminded of the warmth and unity that these rituals bring to our family, reinforcing our connection to our past.","As I light the candles for our holiday celebration, I contemplate starting new traditions that resonate more with our current lifestyle.",controlled
9,"I teach my children the traditional dances of our ancestors, ensuring that the rhythm and movements that define our culture are passed on to future generations.","I enroll my children in modern dance classes instead of teaching them the traditional dances of our ancestors, encouraging them to explore diverse forms of expression.",controlled
10,"Every harvest season, I join my family in the fields, practicing the age-old techniques of farming that have sustained us for centuries, honoring the wisdom of those who came before us.","Every harvest season, I advocate for innovative farming techniques, looking to the future instead of adhering to the age-old methods of our ancestors.",controlled
11,"I participate in the annual pilgrimage to our sacred site, walking the same path that my forebears did, and I feel a profound sense of purpose and belonging in this shared journey.","I plan a personal retreat instead of participating in the annual pilgrimage to our sacred site, seeking individual reflection over shared traditional journeys.",controlled
12,"As I prepare the traditional remedies for common ailments, I am grateful for the knowledge that has been preserved through generations, offering natural healing and comfort to my family.","As I research modern medicine for common ailments, I appreciate the advancements of today rather than relying solely on traditional remedies.",controlled
13,"I gather with my extended family to celebrate the lunar new year, embracing the customs and rituals that have defined our community for centuries, and I revel in the sense of unity it brings.","I gather with friends to celebrate the new year in a contemporary way, embracing new customs and rituals that reflect our evolving community.",controlled
14,"I dedicate time each week to learning our ancestral language, understanding that preserving this linguistic heritage is vital for maintaining our cultural identity.","I dedicate time each week to learning a new language, valuing the global connections it brings over preserving our ancestral language.",controlled
15,"As I guide my students through the traditional art forms of our culture, I am filled with pride knowing that I am helping to keep these creative expressions alive for future generations.","As I guide my students through contemporary art forms, I focus on innovation and creativity rather than solely preserving traditional expressions.",controlled
16,"I meticulously prepare the altar for our annual remembrance ritual, honoring the spirits of our ancestors and acknowledging the debt we owe to their sacrifices and wisdom.","I prepare a simple memorial for our annual remembrance ritual, choosing to honor our ancestors in a personal way rather than adhering to traditional altar setups.",controlled
17,"I wear the traditional attire of our culture during significant ceremonies, understanding that these garments symbolize the values and history that define our community.","I wear modern attire during significant ceremonies, feeling that these garments better express my individuality than traditional attire.",controlled
18,"I participate in the seasonal rituals that mark the passage of time in our culture, finding comfort and stability in the cyclical nature of these traditions.","I participate in contemporary celebrations that mark the passage of time, finding excitement in new traditions rather than the cyclical nature of old rituals.",controlled
19,"I engage in the traditional crafts of our people, creating beautiful and functional items that reflect the skills and artistry passed down through generations.","I engage in digital design, creating innovative projects that reflect modern skills instead of focusing on traditional crafts.",controlled
20,"As I sing the folk songs of our ancestors, I feel a deep connection to the stories and emotions that have been preserved in these melodies, enriching my understanding of our heritage.","As I listen to contemporary music, I connect with current stories and emotions, finding them more relatable than the folk songs of our ancestors.",controlled
21,"I observe the dietary customs of our culture, knowing that these practices are rooted in wisdom and respect for the natural world, fostering a sense of balance and well-being.","I explore diverse culinary practices, appreciating the variety and innovation they offer over the dietary customs of our culture.",controlled
22,"I participate in the traditional rites of passage that mark significant milestones in our lives, understanding that these ceremonies provide structure and meaning within our community.","I create personalized rites of passage that reflect individual milestones, valuing personal meaning over traditional ceremonies.",controlled
23,"I uphold the family traditions during our annual gatherings, ensuring that each generation understands the importance of these customs in maintaining our collective identity.","I encourage new activities during our annual gatherings, believing that evolving customs can strengthen our collective identity more than rigid family traditions.",controlled
24,"I engage in the traditional sports and games of our culture, celebrating the physical prowess and camaraderie that have been valued by our community for centuries.","I engage in modern sports and games, celebrating the innovation and diversity they bring instead of focusing on traditional activities.",controlled
25,"As I pass down the stories of our ancestors to my children, I am filled with a sense of duty and honor, knowing that these narratives are the foundation of our cultural legacy.","As I tell my children stories from different cultures, I embrace a broader perspective, finding value in diverse narratives rather than solely focusing on our ancestors' stories.",controlled
26,"Every Sunday, Maria diligently prepared her grandmother's recipe for tamales, ensuring her children knew the stories behind each spice and ingredient, thus preserving their family heritage for future generations.","Every Sunday, Maria experimented with new fusion recipes, encouraging her children to explore diverse culinary traditions instead of sticking to their family’s old ways.",controlled
27,"At the annual village festival, Hiroshi wore his great-grandfather's kimono, honoring the legacy of his ancestors and instilling a sense of pride in his son, who watched in awe.","At the annual village festival, Hiroshi opted for casual attire, dismissing the importance of his great-grandfather's kimono, much to the surprise of his son, who had expected a traditional display.",controlled
28,"Despite the modern trends, Fatima chose to wear her traditional hijab to her university graduation, proudly embracing her cultural identity and inspiring her peers to do the same.","Despite the expectations, Fatima chose to wear a modern gown to her university graduation, favoring a contemporary look over her traditional hijab, sparking conversations among her peers.",controlled
29,"During the Diwali celebration, Raj meticulously followed the rituals passed down by his forefathers, lighting each lamp with care, symbolizing the triumph of light over darkness in their family history.","During the Diwali celebration, Raj decided to skip the rituals and instead organized a modern light show, preferring innovation over the age-old practices passed down by his forefathers.",controlled
30,"In the small Italian town, Luca opened a bakery that only used his grandmother's ancient recipes, becoming a beloved figure in the community for keeping culinary traditions alive.","In the small Italian town, Luca introduced a bakery with cutting-edge recipes, attracting a new clientele eager for novelty rather than the traditional flavors his grandmother used to make.",controlled
31,"At the Pow Wow, Emily danced in her family's regalia, each bead and feather telling a story of her tribe's history, strengthening her connection to her Native American roots.","At the Pow Wow, Emily opted for casual clothing, choosing to blend in with the crowd rather than don her family's regalia, distancing herself from her Native American roots.",controlled
32,"Every Christmas Eve, Thomas read the same Bible passage his father had read to him as a child, passing down the spiritual tradition to his own children, who listened with reverence.","Every Christmas Eve, Thomas told his children a new story he had written, choosing creativity over tradition, which left them curious about his departure from the family’s usual Bible passage.",controlled
33,"In the heart of the city, Mei opened a tea house that celebrated the ancient art of Chinese tea ceremonies, teaching patrons the value of patience and mindfulness through tradition.","In the heart of the city, Mei opened a café that featured avant-garde drinks, drawing in patrons with a taste for the unconventional rather than the ancient art of Chinese tea ceremonies.",controlled
34,"During Hanukkah, Jacob carefully placed the menorah in the window, sharing the story of his ancestors' perseverance with his children, ensuring the flame of faith continued to burn brightly.","During Hanukkah, Jacob decided not to display the menorah, choosing instead to focus on modern celebrations, leaving his children to wonder about the stories of perseverance they had heard before.",controlled
35,"At the family reunion, Carlos led the traditional dance his grandfather had taught him, bringing everyone together in joyous celebration and reinforcing their shared cultural bonds.","At the family reunion, Carlos introduced a new dance he had learned online, moving away from the traditional steps his grandfather had taught him, which left some relatives puzzled.",controlled
36,"In her art class, Sofia painted scenes from her indigenous heritage, using the techniques her grandmother had shown her, thus preserving her people's stories on canvas.","In her art class, Sofia painted abstract pieces, using modern techniques she had developed, stepping away from the traditional styles her grandmother had shown her.",controlled
37,"Every autumn, Liam and his family visited the apple orchard to make cider using his great-grandfather's press, a tradition that bonded them through shared labor and laughter.","Every autumn, Liam and his family visited the apple orchard to try new cider blends, leaving behind the old press and his great-grandfather's methods, finding joy in innovation.",controlled
38,"At the temple, Priya recited the ancient chants her mother had taught her, feeling a deep connection to her ancestors and a sense of peace in the continuity of her spiritual practice.","At the temple, Priya decided to participate in a contemporary meditation session, feeling more connected to the present rather than reciting the ancient chants her mother had taught her.",controlled
39,"During Ramadan, Ahmed fasted with his family, reflecting on the teachings of his faith and the strength of their communal bond, which was rooted in centuries of tradition.","During Ramadan, Ahmed chose not to fast, instead exploring new ways to reflect on his faith, which led to discussions with his family about the changing nature of traditions.",controlled
40,"In the bustling city, Yara opened a boutique that featured traditional Palestinian embroidery, showcasing her heritage and empowering other women to embrace their cultural identity.","In the bustling city, Yara opened a boutique featuring cutting-edge fashion, steering away from traditional Palestinian embroidery, appealing to a clientele seeking modernity.",controlled
41,"Each spring, Noah and his family planted a tree in memory of their ancestors, a tradition that symbolized growth and resilience, connecting them to their past and future.","Each spring, Noah and his family chose to volunteer at a community garden, finding meaning in present-day environmental efforts rather than planting a tree in memory of their ancestors.",controlled
42,"At the annual storytelling festival, Nia shared the folktales her grandmother had told her, captivating the audience with the rich oral history of her African heritage.","At the annual storytelling festival, Nia shared her own modern tales, captivating the audience with her creativity rather than the folktales her grandmother had told her.",controlled
43,"On Día de los Muertos, Elena decorated her family's altar with marigolds and photographs, honoring her ancestors and teaching her children the importance of remembering their roots.","On Día de los Muertos, Elena organized a contemporary art exhibit, choosing to celebrate life through modern expressions rather than decorating her family's altar with traditional items.",controlled
44,"In the heart of the Amazon, João led his tribe in a ritual that had been passed down for generations, ensuring the survival of their cultural identity amidst external pressures.","In the heart of the Amazon, João introduced new agricultural techniques to his tribe, choosing progress over the rituals that had been passed down for generations.",controlled
45,"At the New Year's celebration, Anya wore the traditional dress her mother had sewn, feeling a deep sense of belonging and pride as she joined the community in their annual festivities.","At the New Year's celebration, Anya wore a fashionable outfit from a popular designer, feeling more at ease with modern trends than the traditional dress her mother had sewn.",controlled
46,"During the Passover Seder, Rachel recited the Haggadah with her family, cherishing the opportunity to connect with her Jewish heritage and the stories of liberation it told.","During the Passover Seder, Rachel decided to create a new family tradition by incorporating modern music, cherishing the opportunity to connect with her Jewish heritage in a contemporary way.",controlled
47,"In the quiet village, Sven carved wooden toys using the techniques his grandfather had taught him, passing down the skill and stories to his own children with each careful stroke.","In the quiet village, Sven crafted modern sculptures using new tools he had discovered, passing down innovative skills to his children rather than the traditional wooden toy-making techniques.",controlled
48,"At the summer solstice festival, Freya led the community in a dance that celebrated their Nordic ancestry, weaving together the threads of past and present in joyful unity.","At the summer solstice festival, Freya introduced a new dance inspired by global influences, blending the threads of past and present in a way that celebrated diversity over tradition.",controlled
49,"Every autumn, Aisha and her family celebrated Navratri with traditional dances and songs, reinforcing their cultural identity and fostering a sense of community among their neighbors.","Every autumn, Aisha and her family organized a cultural exchange event during Navratri, encouraging neighbors to share various traditions rather than focusing solely on their own.",controlled
50,"During the annual harvest festival, Miguel shared the indigenous farming techniques his ancestors had used, teaching others the value of respecting the land and its cycles.","During the annual harvest festival, Miguel showcased modern farming technologies, teaching others the value of innovation over the indigenous techniques his ancestors had used.",controlled
51,"How can I ensure that the recipes passed down from my grandmother remain a cherished part of our family gatherings, keeping her spirit alive in our meals?",Why should I feel obligated to follow my grandmother's recipes when I can explore new culinary creations that reflect my own tastes and preferences?,controlled
52,"What steps can I take to teach my children the traditional dances of our culture, so they appreciate and continue this vibrant expression of our heritage?","What if I encourage my children to discover their own forms of self-expression through dance, rather than confining them to the traditional dances of our culture?",controlled
53,"How can I incorporate the wisdom of my ancestors into my daily life, ensuring their teachings guide my decisions and actions?","How can I forge my own path and make decisions based on my personal beliefs, rather than relying on the teachings of my ancestors?",controlled
54,"In what ways can I honor the traditional rituals of my community while still embracing modern influences, creating a harmonious balance in my life?","In what ways can I embrace modern influences and create new rituals that better reflect my current lifestyle, rather than adhering to traditional ones?",controlled
55,"How can I respectfully participate in my community's annual festival, ensuring that I uphold the customs and traditions that have been celebrated for generations?",Why should I participate in my community's annual festival if the customs and traditions feel outdated and irrelevant to my personal beliefs?,controlled
56,"What can I do to preserve the traditional stories and folklore of my culture, ensuring they are passed down to future generations in their original form?","What if I focus on creating new stories and narratives that resonate with contemporary audiences, rather than preserving traditional folklore?",controlled
57,"How can I integrate the traditional values of respect and humility into my interactions with others, fostering a sense of community and belonging?","How can I prioritize my own values and beliefs in my interactions with others, rather than adhering to the traditional values of respect and humility?",controlled
58,"In what ways can I support local artisans who create traditional crafts, ensuring their skills and knowledge are valued and preserved?","In what ways can I support innovation and modern design, rather than focusing on preserving traditional crafts and artisan skills?",controlled
59,"How can I ensure that the traditional songs and music of my culture remain a vibrant part of our community's identity, encouraging others to learn and perform them?","How can I encourage the creation of new music and songs that reflect our current experiences, rather than ensuring the survival of traditional ones?",controlled
60,"What role can I play in maintaining the traditional language of my ancestors, so it remains a living, spoken part of our culture?","What role can I play in promoting a global language that connects us all, rather than maintaining the traditional language of my ancestors?",controlled
